Rank	Player	Team	Position	Tier	Tag	Notes
176	Aaron Jones Sr.	MIN	RB	Tier 7	SLEEPER	🟣[YAHOO STEAL: ADP 123.1 (+8.1)] | VORP: -14.2 | Proj: 132.1pts | Scheme: Kevin O'Connell • OL #12 • ⚠️ Committee Trap
177	Baker Mayfield	TB	QB	Tier 7	SLEEPER	🟣[YAHOO STEAL: ADP 126.3 (+6.3)] | VORP: -14.7 | Proj: 254.5pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5) • 🎯 Pass-Funnel RZ (60% Pass)
178	Xavier Worthy	KC	WR	Tier 8		🟣[YAHOO STEAL: ADP 128.9 (+4.9)] | VORP: -15.2 | Proj: 123.5pts | ⭐ Top-10 Eco (Andy Reid) • 🎯 Pass-Funnel RZ (63% Pass)
179	Cade Otton	TB	TE	Tier 8	SLEEPER	🔥[BREAKOUT CATALYST] | VORP: -15.4 | Proj: 103.5pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5) • 🎯 Pass-Funnel RZ (60% Pass)
180	AJ Barner	SEA	TE	Tier 8	SLEEPER	🔥[BREAKOUT CATALYST] 🟣[Yahoo ADP 126.0] | VORP: -15.8 | Proj: 103.0pts | Scheme: Brian Fleury • 🎯 90%+ Route Snaps (47% 12p)
181	Wan'Dale Robinson	TEN	WR	Tier 8		🟣[YAHOO STEAL: ADP 130.9 (+32.9)] | VORP: -16.2 | Proj: 122.6pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31) • ⚡ 3-WR Slot Heavy (20%)
182	Chig Okonkwo	WAS	TE	Tier 8		🟣[Yahoo ADP 126.3] | VORP: -16.8 | Proj: 101.8pts | Scheme: David Blough • ⚠️ Bad OL (#25)
183	Kyler Murray	MIN	QB	Tier 8	TARGET	💥[EXODIA MUST-HAVE] 🟣[Yahoo ADP 111.8] | VORP: -17.5 | Proj: 250.8pts | Scheme: Kevin O'Connell • OL #12 • 🎯 Pass-Funnel RZ (58% Pass) • ⚡ Dual-Threat Floor
184	Deebo Samuel Sr.	SF	WR	Tier 8	SLEEPER	⭐[TOP-10 ECO VALUE] 🟣[Yahoo ADP 127.5] | VORP: -17.5 | Proj: 121.3pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🚨 2-WR Bench Risk (48%)
185	Ben Sauls	NYG	K	Tier 8		 | VORP: -17.6 | Proj: 58.1pts | Scheme: Matt Nagy
186	Tyler Shough	NO	QB	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 130.0] | VORP: -17.8 | Proj: 250.4pts | Scheme: Kellen Moore • OL #22 • ⚡ Dual-Threat Floor • 🔥 Breakout Catalyst
187	RJ Harvey	DEN	RB	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 103.9 (+4.9)] | VORP: -18.0 | Proj: 128.3pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1)
188	Jordan Love	GB	QB	Tier 8		🟣[Yahoo ADP 124.3] | VORP: -18.4 | Proj: 249.7pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27)
189	Daniel Jones	IND	QB	Tier 8		🟣[YAHOO STEAL: ADP 188.4 (+33.4)] | VORP: -19.6 | Proj: 248.0pts | Scheme: Shane Steichen • OL #10
190	Blake Corum	LAR	RB	Tier 8	SLEEPER	⭐[TOP-10 ECO VALUE] 🟣[YAHOO STEAL: ADP 99.6 (+6.6)] | VORP: -19.7 | Proj: 126.6pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • ⚠️ Committee Trap
191	Jake Moody	FA	K	Tier 8		 | VORP: -19.8 | Proj: 49.7pts | Scheme: nan
191	Zane Gonzalez	FA	K	Tier 8		 | VORP: -19.8 | Proj: 49.7pts | Scheme: nan
191	Brandon McManus	FA	K	Tier 8		 | VORP: -19.8 | Proj: 49.7pts | Scheme: nan
194	Tre Tucker	LV	WR	Tier 8		🟣[YAHOO STEAL: ADP 199.0 (+38.0)] | VORP: -20.6 | Proj: 118.2pts | Scheme: Klint Kubiak
195	Malik Willis	MIA	QB	Tier 8	TARGET	💥[EXODIA MUST-HAVE] 🟣[Yahoo ADP 124.8] | VORP: -21.2 | Proj: 245.8pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass) • ⚡ Dual-Threat Floor
196	Khalil Shakir	BUF	WR	Tier 8		🟣[Yahoo ADP 131.4] | VORP: -22.7 | Proj: 116.1pts | ⭐ Top-10 Eco (Joe Brady) • 🎯 Pass-Funnel RZ (58% Pass) • ⚡ 3-WR Slot Heavy (24%)
197	Kyle Monangai	CHI	RB	Tier 8		🟣[Yahoo ADP 104.3] | VORP: -23.2 | Proj: 123.2pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • ⚠️ Committee Trap
198	Jonathon Brooks	CAR	RB	Tier 8	TARGET	💥[EXODIA MUST-HAVE] 🟣[YAHOO STEAL: ADP 97.2 (+13.2)] | VORP: -23.2 | Proj: 123.1pts | Scheme: Dave Canales/Idzik • OL #8
199	Pat Freiermuth	PIT	TE	Tier 8		 | VORP: -23.3 | Proj: 94.2pts | Scheme: Mike McCarthy • 🎯 90%+ Route Snaps (41% 12p)
200	Jalen Coker	CAR	WR	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 133.3 (+7.3)] | VORP: -23.8 | Proj: 115.0pts | Scheme: Dave Canales/Idzik
201	C.J. Stroud	HOU	QB	Tier 8	SLEEPER	💰[CONTRACT YR] 🟣[Yahoo ADP 125.6] | VORP: -23.9 | Proj: 242.2pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass) • 💰 Contract Yr
202	Cooper Kupp	SEA	WR	Tier 8		 | VORP: -25.7 | Proj: 113.1pts | Scheme: Brian Fleury • 🚨 2-WR Bench Risk (47%)
203	Jalen Nailor	LV	WR	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 195.4 (+20.4)] | VORP: -25.8 | Proj: 113.0pts | Scheme: Klint Kubiak
204	Sam Darnold	SEA	QB	Tier 8		🟣[Yahoo ADP 122.7] | VORP: -25.9 | Proj: 239.6pts | Scheme: Brian Fleury • OL #14
205	J.K. Dobbins	DEN	RB	Tier 8	AVOID	🚫[AVOID/FADE] 🟣[YAHOO STEAL: ADP 96.6 (+10.6)] | VORP: -26.2 | Proj: 120.1pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • ⚠️ Committee Trap
206	Keenan Allen	IND	WR	Tier 8		🟣[YAHOO STEAL: ADP 197.5 (+15.5)] | VORP: -26.9 | Proj: 111.9pts | Scheme: Shane Steichen
207	Kenyon Sadiq	NYJ	TE	Tier 8	SLEEPER	🔥[BREAKOUT CATALYST] 🟣[Yahoo ADP 130.0] | VORP: -26.9 | Proj: 89.9pts | Scheme: Frank Reich • 🔥 Breakout Catalyst
208	Evan Engram	DEN	TE	Tier 8		 | VORP: -27.3 | Proj: 89.4pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton)
209	Rachaad White	WAS	RB	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 122.3 (+10.3)] | VORP: -27.6 | Proj: 118.7pts | Scheme: David Blough • ⚠️ Bad OL (#25)
210	Gunnar Helm	TEN	TE	Tier 8		 | VORP: -28.2 | Proj: 88.4pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31)
211	Ryan Flournoy	DAL	WR	Tier 8		 | VORP: -28.8 | Proj: 110.0pts | ⭐ Top-10 Eco (Brian Schottenheimer) • 🎯 Pass-Funnel RZ (61% Pass) • ⚡ 3-WR Slot Heavy (26%)
212	Makai Lemon	PHI	WR	Tier 8	AVOID	🚫[AVOID/FADE] 🟣[Yahoo ADP 112.2] | VORP: -30.6 | Proj: 108.2pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2)
213	Charlie Kolar	LAC	TE	Tier 8		 | VORP: -30.8 | Proj: 85.4pts | Scheme: Mike McDaniel
214	KC Concepcion	CLE	WR	Tier 8		🟣[YAHOO STEAL: ADP 127.7 (+10.7)] | VORP: -32.0 | Proj: 106.8pts | Scheme: Todd Monken • ⚠️ Bad OL (#32) • 🚨 2-WR Bench Risk (47%)
215	Rashid Shaheed	SEA	WR	Tier 8		🟣[Yahoo ADP 128.3] | VORP: -32.1 | Proj: 106.7pts | Scheme: Brian Fleury • 🚨 2-WR Bench Risk (47%)
216	Greg Dulcich	MIA	TE	Tier 8	TARGET	🎯[SMASH TARGET] | VORP: -32.1 | Proj: 83.8pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
217	Dontayvion Wicks	PHI	WR	Tier 8		 | VORP: -33.5 | Proj: 105.3pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2)
218	Jacory Croskey-Merritt	WAS	RB	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 111.0 (+14.0)] | VORP: -34.2 | Proj: 112.2pts | Scheme: David Blough • ⚠️ Bad OL (#25) • ⚠️ Committee Trap
219	Caleb Douglas	MIA	WR	Tier 8		 | VORP: -35.4 | Proj: 103.3pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
220	Jerry Jeudy	CLE	WR	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 178.8 (+14.8)] | VORP: -36.7 | Proj: 102.1pts | Scheme: Todd Monken • ⚠️ Bad OL (#32) • 🚨 2-WR Bench Risk (47%)
221	Jalen McMillan	TB	WR	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 129.3] | VORP: -37.6 | Proj: 101.2pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5) • 🎯 Pass-Funnel RZ (60% Pass) • ⚡ 3-WR Slot Heavy (27%)
222	Jacoby Brissett	ARI	QB	Tier 8		 | VORP: -38.4 | Proj: 222.9pts | Scheme: Mike LaFleur • OL #20
223	Bryce Young	CAR	QB	Tier 8	SLEEPER	💰[CONTRACT YR] | VORP: -38.5 | Proj: 222.7pts | Scheme: Dave Canales/Idzik • OL #8 • 💰 Contract Yr
224	Tyjae Spears	TEN	RB	Tier 8		🟣[Yahoo ADP 133.4] | VORP: -38.9 | Proj: 107.4pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31)
225	DeMario Douglas	NE	WR	Tier 8		 | VORP: -39.0 | Proj: 99.8pts | Scheme: Josh McDaniels
226	Terrance Ferguson	LAR	TE	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 188.9 (+16.9)] | VORP: -39.0 | Proj: 75.7pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass) • 🎯 90%+ Route Snaps (40% 12p)
227	Colby Parkinson	LAR	TE	Tier 8		 | VORP: -39.1 | Proj: 75.6pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass) • 🎯 90%+ Route Snaps (40% 12p)
228	Mike Gesicki	CIN	TE	Tier 8		 | VORP: -39.9 | Proj: 74.6pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
229	Rashod Bateman	BAL	WR	Tier 8		 | VORP: -41.0 | Proj: 97.8pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 🚨 2-WR Bench Risk (60%)
230	Geno Smith	NYJ	QB	Tier 8		 | VORP: -41.2 | Proj: 219.2pts | Scheme: Frank Reich • OL #17
231	Aaron Rodgers	PIT	QB	Tier 8		 | VORP: -41.5 | Proj: 218.8pts | Scheme: Mike McCarthy • OL #19
232	Malik Washington	MIA	WR	Tier 8		 | VORP: -41.6 | Proj: 97.2pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
233	Oronde Gadsden II	LAC	TE	Tier 8		🟣[Yahoo ADP 126.6] | VORP: -42.2 | Proj: 71.9pts | Scheme: Mike McDaniel
234	Cam Ward	TEN	QB	Tier 8	SLEEPER	🔥[BREAKOUT CATALYST] | VORP: -42.4 | Proj: 217.6pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31) • 🔥 Breakout Catalyst
235	Denzel Boston	CLE	WR	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 131.4] | VORP: -43.1 | Proj: 95.7pts | Scheme: Todd Monken • ⚠️ Bad OL (#32) • 🚨 2-WR Bench Risk (47%)
236	Mason Taylor	NYJ	TE	Tier 8		 | VORP: -44.0 | Proj: 69.8pts | Scheme: Frank Reich
237	Michael Mayer	LV	TE	Tier 8		 | VORP: -45.1 | Proj: 68.5pts | Scheme: Klint Kubiak • 🎯 90%+ Route Snaps (40% 12p)
238	Jauan Jennings	MIN	WR	Tier 8		🟣[Yahoo ADP 126.9] | VORP: -45.4 | Proj: 93.4pts | Scheme: Kevin O'Connell • 🎯 Pass-Funnel RZ (58% Pass)
239	Zach Charbonnet	SEA	RB	Tier 8	SLEEPER	⭐[TOP-10 ECO VALUE] 🟣[Yahoo ADP 129.5] | VORP: -45.8 | Proj: 100.5pts | ⭐ Top-10 Eco (Brian Fleury) • OL #14
240	Tre' Harris	LAC	WR	Tier 8		 | VORP: -47.0 | Proj: 91.8pts | Scheme: Mike McDaniel • ⚡ 3-WR Slot Heavy (19%)
241	Theo Johnson	NYG	TE	Tier 8		 | VORP: -47.0 | Proj: 66.3pts | Scheme: Matt Nagy
242	Kayshon Boutte	HOU	WR	Tier 8		 | VORP: -47.7 | Proj: 91.1pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass) • ⚡ 3-WR Slot Heavy (14%)
243	Darnell Washington	PIT	TE	Tier 8		 | VORP: -48.5 | Proj: 64.5pts | Scheme: Mike McCarthy • 🎯 90%+ Route Snaps (41% 12p)
244	Cole Kmet	CHI	TE	Tier 8		 | VORP: -49.5 | Proj: 63.3pts | Scheme: Ben Johnson • 🛡️ Top-5 OL (#4) • 🎯 Pass-Heavy RZ (Ben Johnson) • 🎯 90%+ Route Snaps (41% 12p)
245	Dawson Knox	BUF	TE	Tier 8		 | VORP: -49.6 | Proj: 63.2pts | ⭐ Top-10 Eco (Joe Brady) • 🎯 Pass-Funnel RZ (58% Pass)
246	Justice Hill	BAL	RB	Tier 8		 | VORP: -49.7 | Proj: 96.6pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 👑 Elite GL Run (72% Run - Henry/Lamar TDs)
247	Adonai Mitchell	NYJ	WR	Tier 8		 | VORP: -49.8 | Proj: 89.0pts | Scheme: Frank Reich • ⚡ 3-WR Slot Heavy (24%)
248	Jordyn Tyson	NO	WR	Tier 8	AVOID	🚫[AVOID/FADE] 🟣[Yahoo ADP 94.4] | VORP: -50.1 | Proj: 88.7pts | Scheme: Kellen Moore • ⚡ 3-WR Slot Heavy (25%)
249	Devaughn Vele	NO	WR	Tier 8		 | VORP: -50.2 | Proj: 88.6pts | Scheme: Kellen Moore • ⚡ 3-WR Slot Heavy (25%)
250	Isiah Pacheco	DET	RB	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 126.2] | VORP: -50.3 | Proj: 96.0pts | ⭐ Top-10 Eco (Drew Petzing) • OL #16 • 👑 Elite GL Run (74% Run - Gibbs/Monty TDs)
251	Keaton Mitchell	LAC	RB	Tier 8		🟣[Yahoo ADP 131.8] | VORP: -50.3 | Proj: 96.0pts | Scheme: Mike McDaniel • OL #9 • 👑 Elite GL Run (71% Run - Hampton TDs)
252	Calvin Ridley	TEN	WR	Tier 8		🟣[Yahoo ADP 187.4] | VORP: -50.8 | Proj: 87.9pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31) • ⚡ 3-WR Slot Heavy (20%)
253	Woody Marks	HOU	RB	Tier 8		🟣[Yahoo ADP 131.4] | VORP: -51.1 | Proj: 95.3pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29)
254	De'Zhaun Stribling	SF	WR	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 151.0 (+7.0)] | VORP: -51.4 | Proj: 87.4pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🚨 2-WR Bench Risk (48%)
255	David Njoku	LAC	TE	Tier 8		🟣[Yahoo ADP 186.3] | VORP: -52.4 | Proj: 59.9pts | Scheme: Mike McDaniel
256	Darren Waller	CAR	TE	Tier 8		 | VORP: -53.2 | Proj: 59.0pts | Scheme: Dave Canales/Idzik
257	Erick All Jr.	CIN	TE	Tier 8		 | VORP: -54.3 | Proj: 57.6pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
258	Noah Gray	KC	TE	Tier 8		 | VORP: -54.8 | Proj: 57.1pts | ⭐ Top-10 Eco (Andy Reid) • 🎯 Pass-Funnel RZ (63% Pass)
259	Malachi Fields	NYG	WR	Tier 8		 | VORP: -56.1 | Proj: 82.7pts | Scheme: Matt Nagy
260	Tyler Higbee	LAR	TE	Tier 8		 | VORP: -56.2 | Proj: 55.4pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3) • 🎯 Pass-Funnel RZ (58% Pass) • 🎯 90%+ Route Snaps (40% 12p)
261	Jordan Mason	MIN	RB	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 115.9 (+11.9)] | VORP: -56.5 | Proj: 89.8pts | Scheme: Kevin O'Connell • OL #12 • ⚠️ Committee Trap
262	Chris Rodriguez Jr.	JAC	RB	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 131.8 (+9.8)] | VORP: -56.5 | Proj: 89.8pts | Scheme: Liam Coen • OL #23
263	Dylan Sampson	CLE	RB	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 167.5 (+21.5)] | VORP: -56.9 | Proj: 89.4pts | Scheme: Todd Monken • ⚠️ Bad OL (#32)
264	Tyquan Thornton	KC	WR	Tier 8		 | VORP: -58.3 | Proj: 80.4pts | ⭐ Top-10 Eco (Andy Reid) • 🎯 Pass-Funnel RZ (63% Pass)
265	Pat Bryant	DEN	WR	Tier 8		 | VORP: -58.7 | Proj: 80.1pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton) • ⚡ 3-WR Slot Heavy (17%)
266	Tyler Allgeier	ARI	RB	Tier 8		🟣[Yahoo ADP 129.9] | VORP: -58.8 | Proj: 87.5pts | Scheme: Mike LaFleur • OL #20
267	Omar Cooper Jr.	NYJ	WR	Tier 8		🟣[Yahoo ADP 130.0] | VORP: -58.9 | Proj: 79.9pts | Scheme: Frank Reich • ⚡ 3-WR Slot Heavy (24%)
268	KaVontae Turpin	DAL	WR	Tier 8		 | VORP: -59.0 | Proj: 79.8pts | ⭐ Top-10 Eco (Brian Schottenheimer) • 🎯 Pass-Funnel RZ (61% Pass) • ⚡ 3-WR Slot Heavy (26%)
269	Chris Bell	MIA	WR	Tier 8		 | VORP: -59.1 | Proj: 79.6pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
270	Elijah Arroyo	SEA	TE	Tier 8		 | VORP: -59.2 | Proj: 51.9pts | Scheme: Brian Fleury • 🎯 90%+ Route Snaps (47% 12p)
271	Andrei Iosivas	CIN	WR	Tier 8		 | VORP: -59.7 | Proj: 79.1pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
272	Noah Fant	NO	TE	Tier 8		 | VORP: -60.8 | Proj: 50.0pts | Scheme: Kellen Moore
273	Travis Hunter	JAC	WR	Tier 8		🟣[Yahoo ADP 126.4] | VORP: -61.1 | Proj: 77.7pts | Scheme: Liam Coen • 🎯 Pass-Heavy RZ (Liam Coen) • ⚡ 3-WR Slot Heavy (25%)
274	Jaylin Noel	HOU	WR	Tier 8		 | VORP: -62.0 | Proj: 76.8pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass) • ⚡ 3-WR Slot Heavy (14%)
275	Tank Dell	HOU	WR	Tier 8	SLEEPER	💰[CONTRACT YR] 🟣[Yahoo ADP 187.9] | VORP: -62.5 | Proj: 76.2pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass) • ⚡ 3-WR Slot Heavy (14%) • 💰 Contract Yr
276	Ja'Kobi Lane	BAL	WR	Tier 8		🟣[Yahoo ADP 173.2] | VORP: -62.7 | Proj: 76.1pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 🚨 2-WR Bench Risk (60%)
277	Samaje Perine	CIN	RB	Tier 8		 | VORP: -63.1 | Proj: 83.3pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28)
278	Kendrick Bourne	ARI	WR	Tier 8		 | VORP: -63.7 | Proj: 75.1pts | Scheme: Mike LaFleur
279	Brian Robinson Jr.	ATL	RB	Tier 8		🟣[Yahoo ADP 121.6] | VORP: -64.0 | Proj: 82.3pts | Scheme: Kevin Stefanski/Rees • OL #11 • 👑 Elite GL Run (70% Run - Bijan TDs)
280	Troy Franklin	DEN	WR	Tier 8		 | VORP: -65.7 | Proj: 73.1pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton) • ⚡ 3-WR Slot Heavy (17%)
281	Xavier Legette	CAR	WR	Tier 8		 | VORP: -65.7 | Proj: 73.1pts | Scheme: Dave Canales/Idzik
282	Darius Slayton	NYG	WR	Tier 8		 | VORP: -65.7 | Proj: 73.0pts | Scheme: Matt Nagy
283	Marvin Mims Jr.	DEN	WR	Tier 8		 | VORP: -66.0 | Proj: 72.8pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton) • ⚡ 3-WR Slot Heavy (17%)
284	Ty Johnson	BUF	RB	Tier 8		 | VORP: -66.1 | Proj: 80.2pts | ⭐ Top-10 Eco (Joe Brady) • OL #7
285	Mike Washington Jr.	LV	RB	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 121.8] | VORP: -66.5 | Proj: 79.8pts | Scheme: Klint Kubiak • OL #24
286	Isaac TeSlaa	DET	WR	Tier 8		 | VORP: -66.7 | Proj: 72.1pts | ⭐ Top-10 Eco (Drew Petzing)
287	Elijah Higgins	ARI	TE	Tier 8		 | VORP: -66.9 | Proj: 42.8pts | Scheme: Mike LaFleur
288	Jahan Dotson	ATL	WR	Tier 8		 | VORP: -67.1 | Proj: 71.7pts | Scheme: Kevin Stefanski/Rees • 🚨 2-WR Bench Risk (54%)
289	Daniel Bellinger	TEN	TE	Tier 8		 | VORP: -67.7 | Proj: 41.9pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31)
290	Jake Tonges	SF	TE	Tier 8		 | VORP: -67.9 | Proj: 41.7pts | ⭐ Top-10 Eco (Kyle Shanahan) • 🎯 90%+ Route Snaps (48% 12p)
291	Germie Bernard	PIT	WR	Tier 8		 | VORP: -68.7 | Proj: 70.0pts | Scheme: Mike McCarthy
292	Austin Hooper	ATL	TE	Tier 8		 | VORP: -68.9 | Proj: 40.6pts | Scheme: Kevin Stefanski/Rees • 🎯 90%+ Route Snaps (54% 12p)
293	Oscar Delp	NO	TE	Tier 8		 | VORP: -70.0 | Proj: 39.2pts | Scheme: Kellen Moore
294	Tanner Hudson	CIN	TE	Tier 8		 | VORP: -70.4 | Proj: 38.8pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
295	Ted Hurst III	TB	WR	Tier 8		 | VORP: -70.5 | Proj: 68.2pts | Scheme: Zac Robinson • 🛡️ Top-5 OL (#5) • 🎯 Pass-Funnel RZ (60% Pass) • ⚡ 3-WR Slot Heavy (27%)
296	Keon Coleman	BUF	WR	Tier 8		 | VORP: -71.6 | Proj: 67.2pts | ⭐ Top-10 Eco (Joe Brady) • 🎯 Pass-Funnel RZ (58% Pass) • ⚡ 3-WR Slot Heavy (24%)
297	Alvin Kamara	NO	RB	Tier 8		🟣[Yahoo ADP 126.1] | VORP: -72.2 | Proj: 74.1pts | Scheme: Kellen Moore • OL #22
298	Tommy Tremble	CAR	TE	Tier 8		 | VORP: -72.5 | Proj: 36.3pts | Scheme: Dave Canales/Idzik
299	Tyrone Tracy Jr.	NYG	RB	Tier 8		🟣[Yahoo ADP 130.9] | VORP: -72.7 | Proj: 73.6pts | Scheme: Matt Nagy • OL #18
300	Zachariah Branch	ATL	WR	Tier 8		 | VORP: -72.8 | Proj: 65.9pts | Scheme: Kevin Stefanski/Rees • 🚨 2-WR Bench Risk (54%)
301	Deshaun Watson	CLE	QB	Tier 8		 | VORP: -72.9 | Proj: 176.9pts | Scheme: Todd Monken • ⚠️ Bad OL (#32)
302	Drew Sample	CIN	TE	Tier 8		 | VORP: -73.0 | Proj: 35.7pts | ⭐ Top-10 Eco (Zac Taylor) • ⚠️ Bad OL (#28) • 🎯 Pass-Funnel RZ (65% Pass)
303	Xavier Hutchinson	HOU	WR	Tier 8		 | VORP: -73.3 | Proj: 65.5pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass) • ⚡ 3-WR Slot Heavy (14%)
304	Adam Trautman	DEN	TE	Tier 8		 | VORP: -73.4 | Proj: 35.2pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton)
305	MarShawn Lloyd	GB	RB	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[YAHOO STEAL: ADP 192.0 (+35.0)] | VORP: -73.6 | Proj: 72.7pts | ⭐ Top-10 Eco (Matt LaFleur) • ⚠️ Bad OL (#27) • 👑 Elite GL Run (67% Run - Jacobs TDs)
306	Marlin Klein	HOU	TE	Tier 8		 | VORP: -74.1 | Proj: 34.4pts | ⭐ Top-10 Eco (Nick Caley) • ⚠️ Bad OL (#29) • 🎯 Pass-Funnel RZ (57% Pass)
307	Jonah Coleman	DEN	RB	Tier 8	TARGET	🎯[SMASH TARGET] 🟣[Yahoo ADP 130.1] | VORP: -74.7 | Proj: 71.7pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1)
308	John Bates	WAS	TE	Tier 8		 | VORP: -74.7 | Proj: 33.7pts | Scheme: David Blough • ⚠️ Bad OL (#25)
309	Elic Ayomanor	TEN	WR	Tier 8		 | VORP: -75.3 | Proj: 63.5pts | Scheme: Brian Daboll • ⚠️ Bad OL (#31) • ⚡ 3-WR Slot Heavy (20%)
310	Josh Oliver	MIN	TE	Tier 8		 | VORP: -75.3 | Proj: 33.0pts | Scheme: Kevin O'Connell • 🎯 Pass-Funnel RZ (58% Pass)
