Rank,Player,Team,Position,Tier
75,Carnell Tate,TEN,WR,Tier 6
76,Harold Fannin Jr.,CLE,TE,Tier 3
77,Jaylen Warren,PIT,RB,Tier 6
78,DK Metcalf,PIT,WR,Tier 6
79,Jonnu Smith,FA,TE,Tier 7
80,Chuba Hubbard,CAR,RB,Tier 8
81,Marvin Harrison Jr.,ARI,WR,Tier 7
82,Courtland Sutton,DEN,WR,Tier 6
83,George Kittle,SF,TE,Tier 4
84,Rico Dowdle,PIT,RB,Tier 7
85,Trevor Lawrence,JAX,QB,Tier 3
86,Dalton Kincaid,BUF,TE,Tier 5
87,Michael Wilson,ARI,WR,Tier 7
88,Jaxson Dart,NYG,QB,Tier 3
89,Matthew Stafford,LAR,QB,Tier 4
90,Chris Godwin Jr.,TB,WR,Tier 7
91,Travis Kelce,KC,TE,Tier 3
92,RJ Harvey,DEN,RB,Tier 9
93,Tony Pollard,TEN,RB,Tier 7
94,Makai Lemon,PHI,WR,Tier 8
95,Patrick Mahomes,KC,QB,Tier 4
96,Jake Ferguson,DAL,TE,Tier 4
97,Kyle Monangai,CHI,RB,Tier 9
98,Quentin Johnston,LAC,WR,Tier 6
99,Blake Corum,LAR,RB,Tier 9
100,Josh Downs,IND,WR,Tier 7
101,Jordan Addison,MIN,WR,Tier 6
102,Michael Pittman,PIT,WR,Tier 6
103,Brock Purdy,SF,QB,Tier 3
104,Jordyn Tyson,NO,WR,Tier 9
105,Alec Pierce,IND,WR,Tier 8
106,Jakobi Meyers,JAX,WR,Tier 6
107,Jonathon Brooks,CAR,RB,Tier 9
108,Isaiah Likely,NYG,TE,Tier 6
109,J.K. Dobbins,DEN,RB,Tier 10
110,Dallas Goedert,PHI,TE,Tier 3
111,Stefon Diggs,WAS,WR,Tier 6
112,Kenny Gainwell,TB,RB,Tier 8
113,Bo Nix,DEN,QB,Tier 4
114,Jayden Reed,GB,WR,Tier 6
115,Mark Andrews,BAL,TE,Tier 4
116,Jared Goff,DET,QB,Tier 5
117,Romeo Doubs,NE,WR,Tier 7
118,Jacory Croskey-Merritt,WAS,RB,Tier 10
119,Matthew Golden,GB,WR,Tier 8
120,Aaron Jones,MIN,RB,Tier 9
121,Deebo Samuel Sr.,SF,WR,Tier 7
122,Baker Mayfield,TB,QB,Tier 5
123,Wan'Dale Robinson,TEN,WR,Tier 9
124,Hunter Henry,NE,TE,Tier 5
125,Xavier Worthy,KC,WR,Tier 7
126,Oronde Gadsden II,LAC,TE,Tier 8
127,Khalil Shakir,BUF,WR,Tier 8
128,Rachaad White,WAS,RB,Tier 9
129,Jordan Love,GB,QB,Tier 5
130,Jordan Mason,MIN,RB,Tier 10
131,KC Concepcion,CLE,WR,Tier 9
132,Jalen Coker,CAR,WR,Tier 8
133,Rashid Shaheed,SEA,WR,Tier 9
134,Brenton Strange,JAX,TE,Tier 4
135,Ricky Pearsall,FA,WR,Tier 9
136,Kyler Murray,MIN,QB,Tier 5
137,Zach Charbonnet,SEA,RB,Tier 10
138,Kenyon Sadiq,NYJ,TE,Tier 8
139,Tyler Allgeier,ARI,RB,Tier 10
140,Chris Rodriguez Jr.,JAX,RB,Tier 10
141,CJ Stroud,FA,QB,Tier 7
142,Jayden Higgins,FA,WR,Tier 9
143,Tyler Shough,NO,QB,Tier 5
144,T.J. Hockenson,MIN,TE,Tier 5
145,Brandon Aiyuk,FA,WR,Tier 9
146,De'Zhaun Stribling,SF,WR,Tier 9
147,Brian Robinson Jr.,FA,RB,Tier 10
148,Sam Darnold,SEA,QB,Tier 6
149,Amon-Ra St.Brown,FA,RB,Tier 10
150,Antonio Williams,FA,WR,Tier 9
151,Zachariah Branch,FA,RB,Tier 10
152,Keaton Mitchell,LAC,RB,Tier 10
153,Juwan Johnson,NO,TE,Tier 4
154,Malik Willis,MIA,QB,Tier 4
155,AJ Barner,SEA,TE,Tier 6
156,Tyjae Spears,TEN,RB,Tier 9
157,Chig Okonkwo,WAS,TE,Tier 6
158,Jalen Nailor,LV,WR,Tier 9
159,Ja'Kobi Lane,BAL,WR,Tier 9
160,Dalton Schultz,HOU,TE,Tier 4
161,Woody Marks,HOU,RB,Tier 10
162,Jonah Coleman,DEN,RB,Tier 10
163,Isiah Pacheco,DET,RB,Tier 9
164,Alvin Kamara,NO,RB,Tier 10
165,Tank Dell,HOU,WR,Tier 9
166,Denzel Boston,CLE,WR,Tier 9
167,Tyrone Tracy Jr.,NYG,RB,Tier 10
168,Mike Washington Jr.,LV,RB,Tier 10
169,Dylan Sampson,CLE,RB,Tier 10
170,Keenan Allen,IND,WR,Tier 8
171,Daniel Jones,IND,QB,Tier 6
172,Fernando Mendoza,LV,QB,Tier 7
173,Tank Bigsby,PHI,RB,Tier 10
174,Omar Cooper Jr.,NYJ,WR,Tier 9
175,Tre Tucker,LV,WR,Tier 8
176,Jauan Jennings,MIN,WR,Tier 9
177,Jalen McMillan,TB,WR,Tier 8
178,Jerry Jeudy,CLE,WR,Tier 9
179,Charlie Kolar,LAC,TE,Tier 5
180,Cade Otton,TB,TE,Tier 6
181,Terrance Ferguson,LAR,TE,Tier 8
182,David Njoku,LAC,TE,Tier 8
183,Malik Washington,MIA,WR,Tier 9
184,Cooper Kupp,SEA,WR,Tier 7
185,Ryan Flournoy,DAL,WR,Tier 8
186,Jacoby Brissett,ARI,QB,Tier 6
187,Emmett Johnson,KC,RB,Tier 10
188,Dontayvion Wicks,PHI,WR,Tier 8
189,Colby Parkinson,LAR,TE,Tier 8
190,Cole Kmet,CHI,TE,Tier 8
191,MarShawn Lloyd,GB,RB,Tier 10
192,Evan Engram,DEN,TE,Tier 7
193,Pat Freiermuth,PIT,TE,Tier 6
194,Michael Mayer,LV,TE,Tier 7
195,Greg Dulcich,MIA,TE,Tier 7
196,Cam Ward,TEN,QB,Tier 7
197,Dawson Knox,BUF,TE,Tier 8
