Rank,Player,Team,Position,Tier,Notes
107,Nick Folk,ATL,K,Tier T7,[TIER 8] FP: 127.2pts (VORP: -0.7) | OL: 4.0/5 | 2-WR: 54%
108,Evan McPherson,CIN,K,Tier T7,[TIER 8] FP: 126.9pts (VORP: -0.8) | OL: 3.0/5
109,Detroit Lions,DET,DST,Tier T7,[TIER 8] FP: 91.6pts (VORP: -0.8) | OL: 3.5/5
110,Tampa Bay Buccaneers,TB,DST,Tier T7,[TIER 8] FP: 90.9pts (VORP: -0.9) | OL: 4.0/5
111,Wil Lutz,DEN,K,Tier T7,[TIER 8] FP: 125.5pts (VORP: -1.1) | OL: 5.0/5
112,New York Giants,NYG,DST,Tier T7,[TIER 8] FP: 90.1pts (VORP: -1.1) | OL: 3.0/5
113,Chicago Bears,CHI,DST,Tier T7,[TIER 8] FP: 89.6pts (VORP: -1.2) | OL: 4.0/5
114,Charlie Smyth,NO,K,Tier T7,[TIER 8] FP: 124.6pts (VORP: -1.2) | OL: 3.0/5
114,Will Reichard,MIN,K,Tier T7,[TIER 8] FP: 124.6pts (VORP: -1.2) | OL: 4.0/5
116,Washington Commanders,WAS,DST,Tier T7,[TIER 8] FP: 89.1pts (VORP: -1.3) | OL: 2.0/5
117,Andy Borregales,NE,K,Tier T7,[TIER 8] FP: 123.7pts (VORP: -1.4) | OL: 3.0/5
118,Daniel Carlson,NO,K,Tier T7,[TIER 8] OL: 3.0/5
119,Las Vegas Raiders,LV,DST,Tier T7,[TIER 8] FP: 88.1pts (VORP: -1.5) | OL: 2.5/5
119,Justin Herbert,LAC,QB,Tier T7,[👑GURU 12][TIER 3] FP: 280.6pts (VORP: -1.5) | OL: 3.0/5
121,Miami Dolphins,MIA,DST,Tier T7,[TIER 8] FP: 87.8pts (VORP: -1.6) | OL: 2.5/5
122,Cleveland Browns,CLE,DST,Tier T7,[TIER 8] FP: 87.0pts (VORP: -1.7) | OL: 2.0/5 | 2-WR: 47%
123,Tennessee Titans,TEN,DST,Tier T7,[TIER 8] FP: 86.0pts (VORP: -1.9) | OL: 2.0/5
124,Trevor Lawrence,JAC,QB,Tier T7,[👑GURU 12][TIER 3][🔥CATALYST] Weapon Upgrades | FP: 282.3pts (VORP: -1.9) | OL: 4.0/5 | Luck: +12.7pts
125,Chris Boswell,PIT,K,Tier T7,[TIER 8] FP: 120.4pts (VORP: -2.1) | OL: 3.5/5
125,Dallas Cowboys,DAL,DST,Tier T7,[TIER 8] FP: 85.2pts (VORP: -2.1) | OL: 4.0/5
127,Chad Ryland,ARI,K,Tier T7,[TIER 8] FP: 120.3pts (VORP: -2.1) | OL: 3.0/5
128,Cincinnati Bengals,CIN,DST,Tier T7,[TIER 8] FP: 84.7pts (VORP: -2.2) | OL: 3.0/5
129,Mark Andrews,BAL,TE,Tier T7,"[🎯TARGET][TIER 8][🔥CATALYST][⭐TOP OFFENSE] Role Increase, New Situation + O/S Top 100 - #5 Ravens Offense - Most Undervalued Asset | FP: 122.8pts (VORP: -2.4) | OL: 3.0/5 | 2-WR: 60%"
130,Bhayshul Tuten,JAC,RB,Tier T7,[💥EXODIA][TIER 6][🔥CATALYST] New Situation + O/S Top 12 RBs | FP: 188.0pts (VORP: -2.4) | OL: 4.0/5 | %RB1: 62% | Screen #1
131,Jason Sanders,NYJ,K,Tier T7,[TIER 8] OL: 3.0/5
132,Joey Slye,TEN,K,Tier T7,[TIER 8] FP: 117.1pts (VORP: -2.7) | OL: 2.0/5
133,Quentin Johnston,LAC,WR,Tier T7,[💤SLEEPER][TIER 6][💲CONTRACT] FP: 148.0pts (VORP: -2.8) | OL: 3.0/5
134,New York Jets,NYJ,DST,Tier T7,[TIER 8] FP: 81.3pts (VORP: -2.8) | OL: 3.0/5
135,Ryan Fitzgerald,CAR,K,Tier T7,[TIER 8] FP: 112.2pts (VORP: -3.7) | OL: 3.0/5
136,Brock Purdy,SF,QB,Tier T7,[🎯TARGET][TIER 3][🔬TALENT 91] FP: 278.9pts (VORP: -4.8) | OL: 4.0/5 | 2-WR: 48%
137,Caleb Williams,CHI,QB,Tier T7,[🎯TARGET][TIER 3] FP: 272.9pts (VORP: -5.0) | OL: 4.0/5 | Luck: -25.3pts
138,DK Metcalf,PIT,WR,Tier T7,[🚫AVOID][TIER 6] FP: 148.1pts (VORP: -5.0) | OL: 3.5/5
139,Travis Kelce,KC,TE,Tier T7,[🚫AVOID][TIER 8] FP: 127.3pts (VORP: -5.2) | OL: 3.0/5 | Luck: -11.5pts
140,Dak Prescott,DAL,QB,Tier T7,[🎯TARGET][TIER 3][⭐TOP OFFENSE] #6 Cowboys Offense - Most Undervalued Asset | FP: 295.5pts (VORP: -6.2) | OL: 4.0/5 | Luck: -16.4pts
141,Dallas Goedert,PHI,TE,Tier T7,[🎯TARGET][TIER 8] FP: 125.6pts (VORP: -6.7) | OL: 4.0/5 | Luck: -35.1pts
142,Michael Pittman Jr.,PIT,WR,Tier T7,[🟡PASS][TIER 6][👑GURU 12] FP: 142.6pts (VORP: -8.7) | OL: 3.5/5
143,Patrick Mahomes II,KC,QB,Tier T7,[TIER 4] FP: 269.9pts (VORP: -10.0) | OL: 3.0/5 | Luck: -12.4pts
144,Jaylen Warren,PIT,RB,Tier T7,[⚠️DIRTY 30][TIER 7][⛏️GOLD STD] FP: 164.4pts (VORP: -10.0) | OL: 3.5/5 | %RB1: 69%
145,Bo Nix,DEN,QB,Tier T7,[💤SLEEPER][TIER 4] FP: 270.8pts (VORP: -10.3) | OL: 5.0/5 | Luck: -16.6pts
146,Juwan Johnson,NO,TE,Tier T7,[🎯TARGET][TIER 8] FP: 118.6pts (VORP: -10.8) | OL: 3.0/5
147,Dalton Kincaid,BUF,TE,Tier T7,[🎯TARGET][TIER 8][💲CONTRACT] FP: 107.4pts (VORP: -11.8) | OL: 4.5/5
148,Courtland Sutton,DEN,WR,Tier T7,[🚫AVOID][TIER 6] FP: 145.4pts (VORP: -12.3) | OL: 5.0/5
149,Jake Ferguson,DAL,TE,Tier T7,[🚫AVOID][TIER 8] FP: 124.4pts (VORP: -12.3) | OL: 4.0/5 | Luck: +11.1pts
150,Brenton Strange,JAC,TE,Tier T7,[🎯TARGET][TIER 4] FP: 116.7pts (VORP: -12.6) | OL: 4.0/5
151,Jaxson Dart,NYG,QB,Tier T7,[⚠️DIRTY 30][TIER 4][🔥CATALYST] Weapon Upgrades | FP: 273.7pts (VORP: -13.4) | OL: 3.0/5 | Luck: +14.1pts
