Rank,Player,Team,Position,Tier,Notes
424,Nicholas Singleton,TEN,RB,Tier T8,[TIER 10] FP: 35.6pts (VORP: -137.2) | OL: 2.0/5 | %RB1: 59%
425,Marquez Valdes-Scantling,DAL,WR,Tier T8,[TIER 14] OL: 4.0/5
426,Jalen Royals,KC,WR,Tier T8,[TIER 13] OL: 3.0/5
426,Mitch Tinsley,CIN,WR,Tier T8,[TIER 14] OL: 3.0/5
428,Sione Vaki,DET,RB,Tier T8,[TIER 13] OL: 3.5/5 | %RB1: 62%
429,Odell Beckham Jr.,NYG,WR,Tier T8,[TIER 14] OL: 3.0/5
430,Kyle Juszczyk,SF,RB,Tier T8,[TIER 13] FP: 32.7pts (VORP: -140.5) | OL: 4.0/5 | %RB1: 77% | 2-WR: 48%
431,Xavier Restrepo,TEN,WR,Tier T8,[TIER 14] OL: 2.0/5
432,CJ Daniels,LAR,WR,Tier T8,[TIER 14] OL: 4.5/5
433,Frank Gore Jr.,BUF,RB,Tier T8,[TIER 14] OL: 4.5/5 | %RB1: 66%
434,KeAndre Lambert-Smith,LAC,WR,Tier T8,[TIER 14] OL: 3.0/5
435,Jordan Watkins,SF,WR,Tier T8,[TIER 14] OL: 4.0/5 | 2-WR: 48%
436,DJ Giddens,IND,RB,Tier T8,[TIER 12] FP: 37.0pts (VORP: -142.5) | OL: 4.5/5 | %RB1: 69%
437,Trevor Etienne,CAR,RB,Tier T8,[TIER 12] FP: 33.2pts (VORP: -142.7) | OL: 3.0/5 | %RB1: 79%
438,Xavier Smith,LAR,WR,Tier T8,[TIER 14] OL: 4.5/5
439,Raheim Sanders,CLE,RB,Tier T8,[TIER 13] OL: 2.0/5 | %RB1: 58% | 2-WR: 47%
440,DeAndre Hopkins,BAL,WR,Tier T8,[TIER 14] OL: 3.0/5 | 2-WR: 60%
441,Tahj Brooks,CIN,RB,Tier T8,[TIER 12] FP: 37.3pts (VORP: -143.9) | OL: 3.0/5 | %RB1: 75%
442,Devin Singletary,NYG,RB,Tier T8,[TIER 12] FP: 29.6pts (VORP: -144.4) | OL: 3.0/5 | %RB1: 56%
443,Will Shipley,PHI,RB,Tier T8,[TIER 12] FP: 29.3pts (VORP: -145.0) | OL: 4.0/5 | %RB1: 67%
444,Austin Ekeler,FA,RB,Tier T8,[TIER 13] %RB1: 50%
445,David Sills V,TB,WR,Tier T8,[TIER 14] OL: 4.0/5
445,Cedrick Wilson Jr.,DET,WR,Tier T8,[TIER 14] OL: 3.5/5
447,Sean Tucker,TB,RB,Tier T8,[TIER 10] FP: 27.3pts (VORP: -145.5) | OL: 4.0/5 | %RB1: 75%
448,Emanuel Wilson,SEA,RB,Tier T8,[TIER 11] FP: 35.2pts (VORP: -145.7) | OL: 3.5/5 | %RB1: 77% | 2-WR: 47%
449,Michael Woods II,DEN,WR,Tier T8,[TIER 14] OL: 5.0/5
449,Chris Blair,ATL,WR,Tier T8,[TIER 14] OL: 4.0/5 | 2-WR: 54%
451,Kendre Miller,NO,RB,Tier T8,[TIER 12] FP: 26.8pts (VORP: -148.1) | OL: 3.0/5 | %RB1: 66%
452,Elijah Moore,PHI,WR,Tier T8,[TIER 14] OL: 4.0/5
452,Reggie Virgil,ARI,WR,Tier T8,[TIER 14] OL: 3.0/5
454,Damien Martinez,GB,RB,Tier T8,[TIER 13] OL: 2.0/5 | %RB1: 67%
455,Zavier Scott,MIN,RB,Tier T8,[TIER 13] FP: 25.5pts (VORP: -149.7) | OL: 4.0/5 | %RB1: 69% | Screen #5
456,Michael Carter,TEN,RB,Tier T8,[TIER 13] OL: 2.0/5 | %RB1: 59%
457,Tyler Lockett,LV,WR,Tier T8,[TIER 14] OL: 2.5/5
457,Van Jefferson,WAS,WR,Tier T8,[TIER 14] OL: 2.0/5
459,Jaleel McLaughlin,DEN,RB,Tier T8,[TIER 12] OL: 5.0/5 | %RB1: 56% | Screen #2
460,Jawhar Jordan,HOU,RB,Tier T8,[TIER 13] FP: 25.6pts (VORP: -151.5) | OL: 3.0/5 | %RB1: 52%
461,Velus Jones Jr.,SEA,WR,Tier T8,[TIER 14] OL: 3.5/5 | 2-WR: 47%
462,Audric Estime,NO,RB,Tier T8,[TIER 12] OL: 3.0/5 | %RB1: 66%
462,Dameon Pierce,PHI,RB,Tier T8,[TIER 13] OL: 4.0/5 | %RB1: 67%
464,Shedeur Sanders,CLE,QB,Tier T8,[TIER 8] FP: 41.1pts (VORP: -153.2) | OL: 2.0/5 | 2-WR: 47%
465,Jalen Reagor,MIA,WR,Tier T8,[TIER 14] OL: 2.5/5
466,Roschon Johnson,CHI,RB,Tier T8,[TIER 13] OL: 4.0/5 | %RB1: 63%
467,Hunter Luepke,DAL,RB,Tier T8,[TIER 13] OL: 4.0/5 | %RB1: 67%
468,Dylan Laube,LV,RB,Tier T8,[TIER 13] OL: 2.5/5 | %RB1: 70%
469,Jeremy McNichols,WAS,RB,Tier T8,[TIER 13] OL: 2.0/5 | %RB1: 65%
470,Jam Miller,NE,RB,Tier T8,[TIER 13] OL: 3.0/5 | %RB1: 60% | Screen #4
471,Jarquez Hunter,LAR,RB,Tier T8,[TIER 12] OL: 4.5/5 | %RB1: 76%
472,Kareem Hunt,FA,RB,Tier T8,[TIER 12] %RB1: 50%
473,Terrell Jennings,FA,RB,Tier T8,[TIER 13] %RB1: 50%
474,Devin Neal,NO,RB,Tier T8,[TIER 12] OL: 3.0/5 | %RB1: 66%
475,J'Mari Taylor,JAC,RB,Tier T8,[TIER 13] OL: 4.0/5 | %RB1: 62% | Screen #1
476,Michael Burton,CLE,RB,Tier T8,[TIER 14] OL: 2.0/5 | %RB1: 58% | 2-WR: 47%
477,Eli Heidenreich,PIT,RB,Tier T8,[TIER 13] OL: 3.5/5 | %RB1: 69%
478,Khalil Herbert,SF,RB,Tier T8,[TIER 14] OL: 4.0/5 | %RB1: 77% | 2-WR: 48%
479,Isaac Guerendo,SF,RB,Tier T8,[TIER 12] OL: 4.0/5 | %RB1: 77% | 2-WR: 48%
480,Rasheen Ali,BAL,RB,Tier T8,[TIER 13] OL: 3.0/5 | %RB1: 63% | 2-WR: 60%
481,Jerome Ford,WAS,RB,Tier T8,[TIER 12] OL: 2.0/5 | %RB1: 65%
482,Jameis Winston,NYG,QB,Tier T8,[TIER 8] FP: 40.3pts (VORP: -162.4) | OL: 3.0/5
483,Antonio Gibson,FA,RB,Tier T8,[TIER 14] %RB1: 50%
484,J.J. McCarthy,MIN,QB,Tier T8,[TIER 8] FP: 47.5pts (VORP: -162.6) | OL: 4.0/5
485,Alec Ingold,LAC,RB,Tier T8,[TIER 14] OL: 3.0/5 | %RB1: 66%
486,Phil Mafah,DAL,RB,Tier T8,[TIER 13] OL: 4.0/5 | %RB1: 67%
487,Tyler Goodson,ATL,RB,Tier T8,[TIER 13] OL: 4.0/5 | %RB1: 59% | 2-WR: 54% | Screen #3
488,Roman Hemby,LV,RB,Tier T8,[TIER 13] OL: 2.5/5 | %RB1: 70%
489,Marcus Mariota,WAS,QB,Tier T8,[TIER 8] FP: 36.2pts (VORP: -165.0) | OL: 2.0/5
490,Joe Mixon,FA,RB,Tier T8,[TIER 13] %RB1: 50%
491,Carson Beck,ARI,QB,Tier T8,[TIER 8] FP: 37.9pts (VORP: -166.4) | OL: 3.0/5
492,Adam Prentice,DEN,RB,Tier T8,[TIER 14] OL: 5.0/5 | %RB1: 56% | Screen #2
493,Travis Homer,PIT,RB,Tier T8,[TIER 14] OL: 3.5/5 | %RB1: 69%
494,Justin Fields,KC,QB,Tier T8,[TIER 8] FP: 34.6pts (VORP: -168.3) | OL: 3.0/5
495,Ronnie Rivers,LAR,RB,Tier T8,[TIER 13] OL: 4.5/5 | %RB1: 76%
496,Nathan Carter,ATL,RB,Tier T8,[TIER 14] OL: 4.0/5 | %RB1: 59% | 2-WR: 54% | Screen #3
496,Max Bredeson,MIN,RB,Tier T8,[TIER 14] OL: 4.0/5 | %RB1: 69% | Screen #5
498,Kaleb Johnson,PIT,RB,Tier T8,[TIER 12] OL: 3.5/5 | %RB1: 69%
498,Patrick Ricard,NYG,RB,Tier T8,[TIER 14] OL: 3.0/5 | %RB1: 56%
498,Reggie Gilliam,NE,RB,Tier T8,[TIER 14] OL: 3.0/5 | %RB1: 60% | Screen #4
501,Robert Henry Jr.,WAS,RB,Tier T8,[TIER 13] OL: 2.0/5 | %RB1: 65%
502,Mac Jones,SF,QB,Tier T8,[TIER 8] FP: 31.9pts (VORP: -170.3) | OL: 4.0/5 | 2-WR: 48%
503,Tyson Bagent,CHI,QB,Tier T8,[TIER 9] FP: 33.3pts (VORP: -170.4) | OL: 4.0/5
504,Joe Milton III,DAL,QB,Tier T8,[TIER 9] FP: 32.5pts (VORP: -171.8) | OL: 4.0/5
505,Ty Simpson,LAR,QB,Tier T8,[TIER 8] OL: 4.5/5
506,Bam Knight,ARI,RB,Tier T8,[TIER 12] OL: 3.0/5 | %RB1: 60%
506,Jacob Saylors,DET,RB,Tier T8,[TIER 14] OL: 3.5/5 | %RB1: 62%
508,British Brooks,HOU,RB,Tier T8,[TIER 14] OL: 3.0/5 | %RB1: 52%
509,Joe Flacco,CIN,QB,Tier T8,[TIER 8] OL: 3.0/5
510,Tyrod Taylor,GB,QB,Tier T8,[TIER 9] OL: 2.0/5
511,Anthony Richardson Sr.,IND,QB,Tier T8,[TIER 8] OL: 4.5/5
512,Gardner Minshew II,ARI,QB,Tier T8,[TIER 9] OL: 3.0/5
513,Riley Leonard,IND,QB,Tier T8,[TIER 9] OL: 4.5/5
514,Jake Browning,TB,QB,Tier T8,[TIER 10] OL: 4.0/5
515,Cade Klubnik,NYJ,QB,Tier T8,[TIER 8] OL: 3.0/5
515,Drew Allar,PIT,QB,Tier T8,[TIER 10] OL: 3.5/5
